"filename", "language", "Dart", "YAML", "C++", "Groovy", "Properties", "XML", "JSON", "Markdown", "Swift", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"/Users/dss33/flutter_project_training/clockify_kent/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"/Users/dss33/flutter_project_training/clockify_kent/analysis_options.yaml", "YAML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/dss33/flutter_project_training/clockify_kent/android/app/build.gradle", "Groovy", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 75
"/Users/dss33/flutter_project_training/clockify_kent/android/app/google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 47
"/Users/dss33/flutter_project_training/clockify_kent/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 1, 9
"/Users/dss33/flutter_project_training/clockify_kent/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 6, 1, 35
"/Users/dss33/flutter_project_training/clockify_kent/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/dss33/flutter_project_training/clockify_kent/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/dss33/flutter_project_training/clockify_kent/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"/Users/dss33/flutter_project_training/clockify_kent/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 9, 1, 23
"/Users/dss33/flutter_project_training/clockify_kent/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 1, 9
"/Users/dss33/flutter_project_training/clockify_kent/android/build.gradle", "Groovy", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 35
"/Users/dss33/flutter_project_training/clockify_kent/android/gradle.properties", "Properties", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/dss33/flutter_project_training/clockify_kent/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/dss33/flutter_project_training/clockify_kent/android/settings.gradle", "Groovy", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/dss33/flutter_project_training/clockify_kent/flutter_native_splash.yaml", "YAML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"/Users/dss33/flutter_project_training/clockify_kent/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Users/dss33/flutter_project_training/clockify_kent/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"/Users/dss33/flutter_project_training/clockify_kent/ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/dss33/flutter_project_training/clockify_kent/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/dss33/flutter_project_training/clockify_kent/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"/Users/dss33/flutter_project_training/clockify_kent/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 1, 1, 45
"/Users/dss33/flutter_project_training/clockify_kent/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/Users/dss33/flutter_project_training/clockify_kent/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/dss33/flutter_project_training/clockify_kent/ios/firebase_app_id_file.json", "JSON", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/dss33/flutter_project_training/clockify_kent/lib/activity/state/activity_state.dart", "Dart", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
"/Users/dss33/flutter_project_training/clockify_kent/lib/auth/model/user_auth_model.dart", "Dart", -48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -55
"/Users/dss33/flutter_project_training/clockify_kent/lib/auth/presentation/password_page.dart", "Dart", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0
"/Users/dss33/flutter_project_training/clockify_kent/lib/auth/state/user_auth_state.dart", "Dart", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 57
"/Users/dss33/flutter_project_training/clockify_kent/lib/main.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 4
"/Users/dss33/flutter_project_training/clockify_kent/lib/model/activity.dart", "Dart", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 41
"/Users/dss33/flutter_project_training/clockify_kent/lib/model/activity.g.dart", "Dart", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 63
"/Users/dss33/flutter_project_training/clockify_kent/lib/model/user.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/dss33/flutter_project_training/clockify_kent/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/Users/dss33/flutter_project_training/clockify_kent/linux/flutter/generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/dss33/flutter_project_training/clockify_kent/linux/main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/dss33/flutter_project_training/clockify_kent/linux/my_application.cc", "C++", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"/Users/dss33/flutter_project_training/clockify_kent/linux/my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/Users/dss33/flutter_project_training/clockify_kent/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 4, 21
"/Users/dss33/flutter_project_training/clockify_kent/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/Users/dss33/flutter_project_training/clockify_kent/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"/Users/dss33/flutter_project_training/clockify_kent/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 1, 344
"/Users/dss33/flutter_project_training/clockify_kent/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"/Users/dss33/flutter_project_training/clockify_kent/macos/firebase_app_id_file.json", "JSON", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/dss33/flutter_project_training/clockify_kent/pubspec.yaml", "YAML", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"/Users/dss33/flutter_project_training/clockify_kent/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 16, 7, 65
"/Users/dss33/flutter_project_training/clockify_kent/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/dss33/flutter_project_training/clockify_kent/web/splash/splash.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"/Users/dss33/flutter_project_training/clockify_kent/web/splash/style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 9, 57
"/Users/dss33/flutter_project_training/clockify_kent/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"/Users/dss33/flutter_project_training/clockify_kent/windows/flutter/generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/dss33/flutter_project_training/clockify_kent/windows/runner/flutter_window.cpp", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 67
"/Users/dss33/flutter_project_training/clockify_kent/windows/runner/flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/Users/dss33/flutter_project_training/clockify_kent/windows/runner/main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/Users/dss33/flutter_project_training/clockify_kent/windows/runner/resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/Users/dss33/flutter_project_training/clockify_kent/windows/runner/utils.cpp", "C++", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"/Users/dss33/flutter_project_training/clockify_kent/windows/runner/utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/Users/dss33/flutter_project_training/clockify_kent/windows/runner/win32_window.cpp", "C++", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"/Users/dss33/flutter_project_training/clockify_kent/windows/runner/win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 138, 36, 532, 91, 8, 487, 330, 5, 46, 48, 42, 5, 181, 293, 2242